STATUS | wrapper  | 2012/07/26 11:16:57 | --> Wrapper Started as Console
INFO   | jvm 1    | 2012/07/26 11:17:06 | SLF4J: Class path contains multiple SLF4J bindings.
INFO   | jvm 1    | 2012/07/26 11:17:06 | SLF4J: Found binding in [jar:file:/C:/work/MyProject/setup/builds/package/manager/lib/slf4j-simple-1.5.11.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 1    | 2012/07/26 11:17:06 | SLF4J: Found binding in [jar:file:/C%3a/work/MyProject/setup/builds/package/manager/lib/slf4j-simple-1.5.11.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 1    | 2012/07/26 11:17:06 | SLF4J: Found binding in [jar:file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/lib/slf4j-log4j12-1.6.1.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 1    | 2012/07/26 11:17:07 | SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
INFO   | jvm 1    | 2012/07/26 11:17:07 | 5835 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'cacheManager' of type [class org.apache.shiro.cache.MemoryConstrainedCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:07 | 6100 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'dataSource' of type [class org.apache.commons.dbcp.BasicDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6724 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sqlSessionFactory' of type [class org.mybatis.spring.SqlSessionFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6724 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sqlSessionFactory' of type [class org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6771 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sqlSessionTemplate' of type [class org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6771 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sysUserDao' of type [class com.abc.myproject.dao.SysUserDao] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6771 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sysUserManager' of type [class com.abc.myproject.service.SysUserManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 2012-07-26 11:17:08,194 INFO [org.apache.shiro.realm.AuthorizingRealm] - No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6771 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'userManagerRealm' of type [class com.abc.myproject.security.UserManagerRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6787 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6880 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'com.abc.myproject.security.SDPFormAuthenticationFilter#af139a' of type [class com.abc.myproject.security.SDPFormAuthenticationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6880 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'util:map#2ff332' of type [class org.springframework.beans.factory.config.MapFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6880 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'util:map#2ff332' of type [class java.util.LinkedHashMap] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 6927 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1a39f8: defining beans [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,dataSource,com.abc.myproject.spring.SpringContextHolder#0,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,loginController,sysUserController,loginFormValidator,sysUserFormValidator,shiroHelper,userManagerRealm,sysUserDao,sysUserManager,transactionManager,sqlSessionFactory,sqlSessionTemplate,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,messageSource,securityManager,cacheManager,lifecycleBeanPostProcessor,shiroFilter,jmxServer,mbeanExporter,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7099 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.abc.myproject.admin.controller.LoginController.fail(java.lang.String,org.springframework.ui.Model)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7099 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/logout],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.abc.myproject.admin.controller.LoginController.logout(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7099 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.abc.myproject.admin.controller.LoginController.login()
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7114 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/saveUser],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.abc.myproject.admin.controller.SysUserController.save(com.abc.myproject.entity.SysUser,org.springframework.validation.BindingResult,org.springframework.web.bind.support.SessionStatus)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7114 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/deleteUser],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.abc.myproject.admin.controller.SysUserController.delete(java.lang.Long,java.lang.String,java.lang.String)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7114 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/createUser],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.abc.myproject.admin.controller.SysUserController.create()
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7114 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/updateUser],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.abc.myproject.admin.controller.SysUserController.update(com.abc.myproject.entity.SysUser,org.springframework.validation.BindingResult,org.springframework.web.bind.support.SessionStatus,java.lang.String)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7114 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/editUser],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.abc.myproject.admin.controller.SysUserController.edit(java.lang.Long)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7114 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/listUser],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.abc.myproject.admin.controller.SysUserController.searchUsers(java.lang.String,java.lang.String,java.lang.String,java.lang.Long)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7114 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/dashboard],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.abc.myproject.admin.controller.SysUserController.dashboard()
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7114 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/changePassword],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.String> com.abc.myproject.admin.controller.SysUserController.changePassword(java.lang.Long,java.lang.String,java.lang.String)
INFO   | jvm 1    | 2012/07/26 11:17:08 | 7177 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/resetPassword],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.String> com.abc.myproject.admin.controller.SysUserController.resetPassword(java.lang.Long,java.lang.String)
INFO   | jvm 1    | 2012/07/26 11:17:09 | 7925 [WrapperSimpleAppMain] INFO org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
INFO   | jvm 1    | 2012/07/26 11:17:09 | 7941 [WrapperSimpleAppMain] INFO org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4508 ms
INFO   | jvm 1    | 2012/07/26 11:17:09 | 8066 [WrapperSimpleAppMain] INFO / - Initializing Spring FrameworkServlet 'dispatcher'
INFO   | jvm 1    | 2012/07/26 11:17:09 | 8066 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcher': initialization started
INFO   | jvm 1    | 2012/07/26 11:17:09 | 8066 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'dispatcher-servlet': startup date [Thu Jul 26 11:17:09 CST 2012]; parent: Root WebApplicationContext
INFO   | jvm 1    | 2012/07/26 11:17:09 | 8066 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/dispatcher-servlet.xml]
INFO   | jvm 1    | 2012/07/26 11:17:09 | 8144 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@16de93: defining beans [loginController,sysUserController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,viewResolver,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@1a39f8
INFO   | jvm 1    | 2012/07/26 11:17:09 | 8300 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcher': initialization completed in 234 ms
INFO   | jvm 1    | 2012/07/26 11:17:09 | 8331 [WrapperSimpleAppMain] INFO org.mortbay.log - Started SelectChannelConnector@0.0.0.0:9000
STATUS | wrapper  | 2012/07/26 11:23:54 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/07/26 11:23:54 | Java Service Wrapper Community Edition 32-bit 3.5.4
STATUS | wrapper  | 2012/07/26 11:23:54 |   Copyright (C) 1999-2010 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/07/26 11:23:54 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/07/26 11:23:54 | 
STATUS | wrapper  | 2012/07/26 11:23:54 | Launching a JVM...
INFO   | jvm 1    | 2012/07/26 11:23:55 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/07/26 11:23:55 | 15 [WrapperSimpleAppMain] INFO org.mortbay.log - Logging to org.slf4j.impl.SimpleLogger(org.mortbay.log) via org.mortbay.log.Slf4jLog
INFO   | jvm 1    | 2012/07/26 11:23:56 | 546 [WrapperSimpleAppMain] INFO org.mortbay.log - jetty-6.1.26
INFO   | jvm 1    | 2012/07/26 11:23:56 | 827 [WrapperSimpleAppMain] INFO / - Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2012/07/26 11:23:56 | 827 [WrapperSimpleAppMain] INFO org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
INFO   | jvm 1    | 2012/07/26 11:23:56 | 905 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Thu Jul 26 11:23:56 CST 2012]; root of context hierarchy
INFO   | jvm 1    | 2012/07/26 11:23:56 | 967 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/classes/applicationContext.xml]
INFO   | jvm 1    | 2012/07/26 11:23:56 | 1217 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [jar:file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/lib/service-1.0.0-SNAPSHOT.jar!/applicationContext-service.xml]
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1373 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/classes/applicationContext-manager.xml]
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1560 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from URL [file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/classes/application.properties]
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1560 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from ServletContext resource [/opt/abc/myproject/conf/manager.properties]
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1560 [WrapperSimpleAppMain] WARN org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Could not load properties from ServletContext resource [/opt/abc/myproject/conf/manager.properties]: Could not open ServletContext resource [/opt/abc/myproject/conf/manager.properties]
INFO   | jvm 1    | 2012/07/26 11:23:57 | SLF4J: Class path contains multiple SLF4J bindings.
INFO   | jvm 1    | 2012/07/26 11:23:57 | SLF4J: Found binding in [jar:file:/C:/work/MyProject/setup/builds/package/manager/lib/slf4j-simple-1.5.11.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 1    | 2012/07/26 11:23:57 | SLF4J: Found binding in [jar:file:/C%3a/work/MyProject/setup/builds/package/manager/lib/slf4j-simple-1.5.11.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 1    | 2012/07/26 11:23:57 | SLF4J: Found binding in [jar:file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/lib/slf4j-log4j12-1.6.1.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 1    | 2012/07/26 11:23:57 | SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1685 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'cacheManager' of type [class org.apache.shiro.cache.MemoryConstrainedCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1778 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'dataSource' of type [class org.apache.commons.dbcp.BasicDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1950 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sqlSessionFactory' of type [class org.mybatis.spring.SqlSessionFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1950 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sqlSessionFactory' of type [class org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1965 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sqlSessionTemplate' of type [class org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1965 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sysUserDao' of type [class com.abc.myproject.dao.SysUserDao] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1965 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'sysUserManager' of type [class com.abc.myproject.service.SysUserManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 2012-07-26 11:23:57,654 INFO [org.apache.shiro.realm.AuthorizingRealm] - No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1965 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'userManagerRealm' of type [class com.abc.myproject.security.UserManagerRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 1965 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 2012 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'com.abc.myproject.security.SDPFormAuthenticationFilter#b7ff0' of type [class com.abc.myproject.security.SDPFormAuthenticationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 2012 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'util:map#fc6595' of type [class org.springframework.beans.factory.config.MapFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 2012 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Bean 'util:map#fc6595' of type [class java.util.LinkedHashMap] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 2043 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@51e191: defining beans [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,dataSource,com.abc.myproject.spring.SpringContextHolder#0,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,loginController,sysUserController,loginFormValidator,sysUserFormValidator,shiroHelper,userManagerRealm,sysUserDao,sysUserManager,transactionManager,sqlSessionFactory,sqlSessionTemplate,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,messageSource,securityManager,cacheManager,lifecycleBeanPostProcessor,shiroFilter,jmxServer,mbeanExporter,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
INFO   | jvm 1    | 2012/07/26 11:23:57 | 2137 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.abc.myproject.admin.controller.LoginController.fail(java.lang.String,org.springframework.ui.Model)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 2137 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/logout],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.abc.myproject.admin.controller.LoginController.logout(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
INFO   | jvm 1    | 2012/07/26 11:23:57 | 2137 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.abc.myproject.admin.controller.LoginController.login()
INFO   | jvm 1    | 2012/07/26 11:23:57 | 2137 [WrapperSimpleAppMain] INFO org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/saveUser],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.abc.myproject.admin.controller.SysUserController.save(com.abc.myproject.entity.SysUser,org.springframework.validation.BindingResult,org.springframework.web.bind.support.SessionStatus)
